"name","neighbourhood_group","neighbourhood","room_type","price"
"Beautiful Spacious Apt & Terrace near Forest Park","Queens","Kew Gardens","Entire home/apt",100
"Easy Street in Brooklyn!","Brooklyn","South Slope","Private room",45
"Bright and Sunny Room in Amazing Bushwick Apt","Brooklyn","Bushwick","Private room",29
"Bright 3 BR East Village apartment","Manhattan","East Village","Entire home/apt",250
"Your own apartment in Bushwick","Brooklyn","Bushwick","Entire home/apt",81
"Great Room next to Empire State Building w/ROOFTOP","Manhattan","Midtown","Private room",110
"NEWLY FURNISHED Studio at Park Avenue South","Manhattan","Midtown","Entire home/apt",120
"West Harlem Cosy and Spacious Room","Manhattan","Harlem","Private room",71
"Ft Greene Studio","Brooklyn","Fort Greene","Entire home/apt",150
"Awesome room available on 2nd Ave in East Village!","Manhattan","East Village","Private room",100
"Cozy private room in spacious Brooklyn Apartment","Brooklyn","Crown Heights","Private room",50
"Roomy West Village Studio","Manhattan","West Village","Entire home/apt",250
"Private Spacious Home Studio Apartment","Manhattan","Harlem","Private room",128
"PRIVATE LARGE-MODERN-CLEAN master bedroom","Manhattan","East Harlem","Private room",49
"Charming Upper West Side Apartment","Manhattan","Upper West Side","Entire home/apt",200
"Short & Sweet Stay in The New NYC","Queens","Long Island City","Entire home/apt",162
"Private modern room with NYC skyline view","Brooklyn","Bushwick","Private room",65
"PERFECT LOCATION  NEAR HOSPITAL! NEW YORK MANHATTA","Manhattan","Harlem","Private room",65
"Beautiful Large Artistic Bedroom in Ocean Hill","Brooklyn","Bedford-Stuyvesant","Private room",38
"Vintage Jewel in Crown Heights","Brooklyn","Crown Heights","Entire home/apt",96
"Rooming has never been better.","Brooklyn","Bedford-Stuyvesant","Private room",50
"*PRIVATE* Loft 5 minutes away from LaGuardia","Queens","East Elmhurst","Entire home/apt",105
"138 Bowery, Suite with King Bed","Manhattan","Nolita","Entire home/apt",160
"Panoramic Water Views  |  Luxury building Studio","Manhattan","Financial District","Entire home/apt",145
"Cozy South Williamsburg Room- Best Location in BK","Brooklyn","Williamsburg","Private room",50
"Summer Skyline Oasis","Manhattan","Morningside Heights","Entire home/apt",98
"Bayview Experience","Queens","Arverne","Entire home/apt",200
"Lovely Walk Up in the Heights","Manhattan","Washington Heights","Shared room",100
"SHOOTS ONLY - Eclectic Artist Loft in Williamsburg","Brooklyn","Williamsburg","Entire home/apt",2000
"Chill, Sunny Room Bed-Stuy Bushwick","Brooklyn","Bedford-Stuyvesant","Private room",48
"BEST BET IN HARLEM","Manhattan","Harlem","Entire home/apt",250
"Light filled studio in Heart of Lower east side","Manhattan","Lower East Side","Entire home/apt",91
"Clean and Convenient Weekly Rental in Bed-Stuy","Brooklyn","Bedford-Stuyvesant","Entire home/apt",92
"Home away from home lodging #1  (1 Bed- 1 guest)","Brooklyn","East Flatbush","Private room",48
"Cozy Apartment close to La Guardia Airport","Queens","Jackson Heights","Entire home/apt",125
"Chic apartment on Central Park West","Manhattan","Upper West Side","Entire home/apt",185
"Charming, sunny room in artist's apartment","Brooklyn","Bedford-Stuyvesant","Private room",48
"NEW Charming Studio","Brooklyn","Gowanus","Entire home/apt",200
"Cozy Studio w stunning Rooftop in the East Village","Manhattan","East Village","Entire home/apt",120
"Oasis in East Flatbush","Brooklyn","East Flatbush","Entire home/apt",89
"Madison Ave 4 Bedroom Triplex","Manhattan","East Harlem","Entire home/apt",493
"Small Reasonable stay in NYC 3min Subway Grand Ave","Queens","Elmhurst","Private room",38
"Queen Room for Rent in Hell's Kitchen Location","Manhattan","Hell's Kitchen","Private room",77
"Sonder *Monthly Discounts* 1BR near New York Stock Exchange","Manhattan","Financial District","Entire home/apt",297
"Crown Heights Nice 3rd FL","Brooklyn","Crown Heights","Entire home/apt",200
"Luxury Chelsea Studio on the High Line.","Manhattan","Chelsea","Entire home/apt",160
"1 Bedroom in Sunny & Spacious Apt.","Brooklyn","Prospect Heights","Private room",75
"Top Floor Brownstone Studio one block to Subway","Brooklyn","Bedford-Stuyvesant","Entire home/apt",75
"Sunlit and Cozy Williamsburg/Greenpoint, Brooklyn","Brooklyn","Greenpoint","Entire home/apt",75
"Banff Room","Manhattan","Harlem","Private room",69
"Private bedroom in prime Bushwick!","Brooklyn","Bushwick","Private room",40
"The Sunset private room @theannkelliesuites","Queens","Hollis","Private room",83
"Cyn","Brooklyn","Bedford-Stuyvesant","Private room",58
"The Perfect Queens Getaway!","Queens","Corona","Entire home/apt",163
"Perfect Apartment - 2 Bedrooms near Grand Central","Manhattan","Murray Hill","Entire home/apt",175
"Chic Place","Staten Island","Oakwood","Entire home/apt",130
"studio in the Kut Kave","Brooklyn","Bushwick","Entire home/apt",133
"Private basement studio with backyard access.","Brooklyn","Bedford-Stuyvesant","Private room",50
"Airy Murray Hill 1BR w/ Private Terrace, Doorman, Elevator, by Blueground","Manhattan","Midtown","Entire home/apt",317
"3-BEDROOM APARTMENT AT UPPER EAST SIDE MANHATTAN","Manhattan","Upper East Side","Entire home/apt",400
"Bay Ridge House near park and water","Brooklyn","Bay Ridge","Entire home/apt",130
"Bay Beauty - Room Looking Over The Water!","Queens","Rockaway Beach","Private room",121
"Magnificent 1BR APT | Full Kitchen | Laundry | Gym","Manhattan","Hell's Kitchen","Entire home/apt",200
"Cute Room Besides Central Park West","Manhattan","Upper West Side","Private room",90
"Bushwick Bklyn Sunny Apt available for long stay","Brooklyn","Bushwick","Entire home/apt",171
"2nd Floor of Duplex (Private Entrance + Bathroom)","Brooklyn","Bedford-Stuyvesant","Private room",250
"Beautiful room in Brooklyn","Brooklyn","Crown Heights","Private room",90
"*Luxury Duplex Loft* across from Flatiron Building","Manhattan","Flatiron District","Entire home/apt",499
"Bright, Charming APT in West Village/SoHo","Manhattan","Greenwich Village","Entire home/apt",200
"2 bedroom apartment across from Central Park","Manhattan","Harlem","Entire home/apt",99
"Room in 1-Br by Columbus Circle","Manhattan","Upper West Side","Private room",90
"Studio Loft","Brooklyn","Greenpoint","Entire home/apt",263
"Central & Quiet SoHo 1BR w/ W/D, New Appliances, by Blueground","Manhattan","SoHo","Entire home/apt",316
"Amazing apartment","Brooklyn","Williamsburg","Private room",70
"Sun-drenched Brooklyn Retreat","Brooklyn","Bedford-Stuyvesant","Entire home/apt",148
"New tidy  room attached by PRIVATE FULL BATH","Queens","Flushing","Private room",56
"Cozy room with queen bed in 4b","Brooklyn","Bedford-Stuyvesant","Private room",55
"Hotel Room King Bed Chelsea","Manhattan","Chelsea","Private room",413
"Cozy shared studio in a safe neighborhood","Queens","Little Neck","Shared room",42
"Charming & Modern 1-bd w/ Balcony & Bridge Views","Brooklyn","Fort Hamilton","Entire home/apt",290
"Room Available in Heart of Fort Greene","Brooklyn","Fort Greene","Private room",135
"Bed Stuy Pride! Welcome to Brooklyn","Brooklyn","Bedford-Stuyvesant","Entire home/apt",75
"3 minutes walk from the Rebbe's Ohel.","Queens","Cambria Heights","Entire home/apt",132
"Sonder *Weekly Specials* 1BR at One Platt","Manhattan","Financial District","Entire home/apt",320
"Simple 1BR/1BA! Chelsea Location!","Manhattan","Chelsea","Entire home/apt",179
"Gorgeous sunny bedroom in Harlem","Manhattan","Harlem","Private room",60
"Modern, Cozy Apartment in the Heart of Bushwick!","Brooklyn","Bushwick","Private room",100
"Private room|Exit door|Prime Bushwick|","Brooklyn","Bushwick","Private room",65
"A Clean, Bright Room in Luxurious Apartment","Queens","Woodside","Private room",50
"Triplex located in the heart of Striver's Row","Manhattan","Harlem","Entire home/apt",450
"Brownstone Manor","Brooklyn","Bedford-Stuyvesant","Private room",87
