"name","neighbourhood_group","neighbourhood","room_type","price"
"Luxury Studio in Chelsea/Flat Iron","Manhattan","Chelsea","Entire home/apt",200
"Private Bedroom in Super Comfortable NYC Apt.","Manhattan","Upper West Side","Private room",99
"Wyndham Midtown 45 NYC (2 Bedroom Presidential)","Manhattan","Midtown","Entire home/apt",353
"Rockaway Beach House Surfers' Vacation Getaway NYC","Queens","Rockaway Beach","Entire home/apt",236
"Cozy 5 Bdrm in Historic Harlem NY","Manhattan","Harlem","Entire home/apt",259
"Renovated Studio Midtown East","Manhattan","Midtown","Shared room",103
"SPIFFY PRIVATE APT. WILLIAMSBURG PRIME BROOKLYN","Brooklyn","Williamsburg","Private room",103
"Harmonious Bright Bedroom","Brooklyn","Bushwick","Private room",55
"Le Chateau","Brooklyn","Canarsie","Entire home/apt",180
"Monthly+. Quiet, Upscale Neighborhood","Manhattan","Upper East Side","Private room",62
"Classic UES 1BR w/ Gym, Pool, Doorman, Elevator, near park, by Blueground","Manhattan","Upper East Side","Entire home/apt",376
"Bright studio","Manhattan","Nolita","Entire home/apt",147
"Manhattan nyc private room 3  Columbia university","Manhattan","Harlem","Private room",85
"Bright 1BR in a new Prospect Heights high rise","Brooklyn","Prospect Heights","Entire home/apt",150
"Cozy UES apartment by the Central Park","Manhattan","Upper East Side","Entire home/apt",110
"Parkside Renovated 1 bedroom","Brooklyn","Flatbush","Entire home/apt",85
"Spacious PreWar Hangout","Manhattan","East Village","Entire home/apt",193
"Central Harlem","Manhattan","Harlem","Private room",206
"NYC- Cozy and Quiet 2 bedroom apt","Manhattan","Roosevelt Island","Entire home/apt",300
"Huge 4 Bedroom 2 Bathroom Townhouse with Backyard","Brooklyn","Greenpoint","Entire home/apt",250
"Modern One Bedroom Suite Near Central Park","Manhattan","Midtown","Private room",349
"Beautiful Harlem Brownstone Apartment","Manhattan","Harlem","Entire home/apt",95
"Magnificent Apartment Near the Central Park 4BDR!","Manhattan","Upper East Side","Private room",301
"Lux 2Bed/2.5Bath Central Park View!","Manhattan","Upper West Side","Entire home/apt",2500
"Cozy one bed apartment","Queens","Ditmars Steinway","Entire home/apt",115
"Idyllic Union Square 1BR, Doorman, Gym, + Garden by Blueground (NYC 178)","Manhattan","Chelsea","Entire home/apt",525
"Studio in Midtown East","Manhattan","Midtown","Entire home/apt",148
"Bushwick Private Suite Oasis for 2 -20 mins to NYC","Brooklyn","Bushwick","Private room",81
"Private room & bath - near Union Square","Manhattan","East Village","Private room",70
"★DELUXE SERVICED APT★UNIQUE SPOT★COMFORT★ELEGANCE★","Manhattan","Midtown","Entire home/apt",435
"Chic Studio in Heart of Manhattan!","Manhattan","Kips Bay","Entire home/apt",102
"Cozy apartment in Brooklyn","Brooklyn","Bedford-Stuyvesant","Private room",55
"Large Apartment in Greenpoint, BK","Brooklyn","Greenpoint","Entire home/apt",165
"Luxe Apt Steps from Central Park & Lincoln Center","Manhattan","Upper West Side","Entire home/apt",870
"2-bedroom apartment across from beach","Queens","Rockaway Beach","Entire home/apt",164
"Even we don't deserve a pad this nice","Brooklyn","Greenpoint","Entire home/apt",369
"Bright Lux Apt w/ Indoor Pool, 24/7 Onsite Team","Manhattan","Midtown","Entire home/apt",420
"Best location in bay ridge","Brooklyn","Fort Hamilton","Entire home/apt",140
"Modern Studio with Private Entry -Heart of Chelsea","Manhattan","Chelsea","Entire home/apt",152
"Columbia Univer, female/couple only","Manhattan","Harlem","Private room",39
"Air B and B at the Grand Old Mansion","Brooklyn","Crown Heights","Entire home/apt",87
"Efficient and Accessible Harlem Studio","Manhattan","Harlem","Entire home/apt",100
"Cute Harlem Studio for Solo Traveler","Manhattan","Harlem","Entire home/apt",93
"Trendy Bushwick Studio (Steps to Subway!)","Brooklyn","Bushwick","Entire home/apt",134
"Luxury apartment with view of Manhattan skykline","Brooklyn","Greenpoint","Entire home/apt",120
"Gorgeous Private Room and Bathroom","Manhattan","Harlem","Private room",85
"Stylish 3,000 sq ft loft in TriBeCa","Manhattan","Tribeca","Entire home/apt",800
"Brooklyn Charm-20 mins to Manhattan","Brooklyn","Prospect-Lefferts Gardens","Entire home/apt",135
"Spacious Brooklyn Loft - 2 Bedroom","Brooklyn","Williamsburg","Entire home/apt",250
"Sunny, modern 1 bedroom condo","Brooklyn","Prospect Heights","Entire home/apt",165
"Historic Harlem Brownstone with Modern Amenities","Manhattan","Harlem","Entire home/apt",172
"Colorful Modern Apartment in Greenwich Village","Manhattan","West Village","Entire home/apt",350
"Large East Williamsburg Apt - Full Apt","Brooklyn","Williamsburg","Entire home/apt",215
"Amazingly Spacious 2 Bdrm, Williamsburg Apartment","Brooklyn","Williamsburg","Entire home/apt",180
"Sunny Room near subway!!","Manhattan","Inwood","Private room",45
"3 Bed Private Room w/ Pvt Bathroom","Brooklyn","Williamsburg","Private room",87
"Welcome to Brooklyn! Bed-Stuy","Brooklyn","Bedford-Stuyvesant","Entire home/apt",67
"Upper West Side 4-Bedroom, 2-Bathroom","Manhattan","Upper West Side","Entire home/apt",229
"💥Enjoy a backyard party with your friends!🎉🎉","Manhattan","Hell's Kitchen","Entire home/apt",750
"Cozy Studio in West Village","Manhattan","West Village","Entire home/apt",500
"1BR w/ Private Bath - Brooklyn Loft with Roof-deck","Brooklyn","Clinton Hill","Private room",50
"Huge One Bedroom Sutton Place- East River View","Manhattan","Midtown","Entire home/apt",170
"Nyc apt in the middle in nyc","Manhattan","Murray Hill","Entire home/apt",115
"Large room in the center of Williamsburg","Brooklyn","Williamsburg","Private room",39
"Brooklyn home","Brooklyn","Bedford-Stuyvesant","Private room",47
"Tranquility Stay-cation with private pool","Queens","Jamaica Estates","Private room",382
"Large, Sunny Private Bedroom in Kingsbridge, Bronx","Bronx","Fordham","Private room",70
"Sunny, Modern Room in Beautiful Bushwick!","Brooklyn","Bushwick","Private room",75
"Sunny top floor of a brownstone","Brooklyn","Clinton Hill","Entire home/apt",100
"Awesome Private Room with 2 Beds Near 2 Metros","Brooklyn","Williamsburg","Private room",73
"Elegant and pristine 2-bed luxury Midtown condo!","Manhattan","Midtown","Private room",230
"The William Vale","Brooklyn","Williamsburg","Hotel room",0
"Crown Heights 1 Bedroom","Brooklyn","Crown Heights","Entire home/apt",100
"Private bedroom/bathroom in Williamsburg GEM !","Brooklyn","Williamsburg","Private room",99
"Jamaica/ Flushing Hospital Housing - Four","Queens","Richmond Hill","Private room",43
"65st (M/R) 2minutes walk from station","Queens","Woodside","Private room",29
"Flushing downtown private cozy large rooms法拉盛大套房","Queens","Flushing","Private room",120
"Charming 1 bedroom apartment in Red Hook","Brooklyn","Red Hook","Entire home/apt",84
"1 bedroom UWS","Manhattan","Upper West Side","Entire home/apt",200
"CHARMING QUIET STUDIO RIGHT OFF CENTRAL PARK WEST","Manhattan","Upper West Side","Entire home/apt",109
"Park Slope Brownstone Garden Apartment","Brooklyn","Park Slope","Entire home/apt",200
"A Gem in Brooklyn","Brooklyn","East Flatbush","Entire home/apt",169
"Brand New Cozy Woodside Studio- Close to NYC","Queens","Maspeth","Entire home/apt",90
"Charming and Modern Home Base","Manhattan","Harlem","Private room",55
"NICE ROOM IN ASTORIA NEAR MANHATTAN","Queens","Astoria","Private room",82
"Monthly/Weekly Cozy and Sunny 2 bedroom apartment","Manhattan","Harlem","Entire home/apt",189
"Cottage style stay w/ jacuzzi near ferry","Staten Island","St. George","Entire home/apt",93
"Comfortable room in Brooklyn","Brooklyn","Park Slope","Private room",60
"Cozy minimalist room close to train (1)","Brooklyn","East New York","Private room",33
"Amazing One Bedroom in Historic Hamilton Heights","Manhattan","Harlem","Entire home/apt",150
"Deluxe Twin Suite at Times SQ Boutique Hotel.","Manhattan","Theater District","Private room",178
"West Side-C Park-Columbia Convenient & Quiet","Manhattan","Upper West Side","Entire home/apt",175
"Private Studio + Own Entrance, 15 min to Manhattan","Brooklyn","Bushwick","Private room",90
"Beach Lovers Dream!","Queens","Arverne","Entire home/apt",207
"Extra large bohemian studio in luxury-condo","Brooklyn","Flatbush","Entire home/apt",150
"Amazing modern place near JFK","Brooklyn","Flatlands","Private room",60
"Spacious, Cozy and Chic 2 Bedroom Apartment","Bronx","Longwood","Entire home/apt",220
"One bedroom in heart of NYC","Manhattan","Upper East Side","Entire home/apt",200
"Charming Carriage House near Prospect Park","Brooklyn","Prospect Heights","Entire home/apt",225
"Functional, Cute and Cozy","Manhattan","Chinatown","Entire home/apt",140
"Nice 3Beds/2bedroom Apartment, 5min TIME SQUARE.","Manhattan","Hell's Kitchen","Entire home/apt",389
"Come Relax in Brooklyn and Be My Guest","Brooklyn","Bushwick","Private room",81
"Lovely and Cosy furnished 2 bedroom apartment","Manhattan","Upper East Side","Entire home/apt",160
"PRIME Location! FEMALE only shared space C","Manhattan","Chelsea","Shared room",49
"Sunny Midtown NYC Room","Manhattan","Upper West Side","Private room",150
"Quintessential NYC Loft Space with Manhattan Views","Brooklyn","DUMBO","Entire home/apt",150
"Winter artistic Bushwick Sublet Available","Brooklyn","Bushwick","Private room",45
"Beautiful 2 Double Bed Hotel Room","Manhattan","Financial District","Private room",163
"1 BR Bushwick Condo in Elevator Building with W/D","Brooklyn","Bushwick","Entire home/apt",93
"Central & Cute Studio by Union Sq!","Manhattan","Gramercy","Entire home/apt",155
"Large Designer One Bedroom on West 72nd","Manhattan","Upper West Side","Entire home/apt",200
"*NEW*  Modern Sunny Loft in Bushwick/Brooklyn","Brooklyn","Bushwick","Entire home/apt",120
"Quiet modern space","Brooklyn","Bedford-Stuyvesant","Entire home/apt",156
"Beautiful Room in Charming Greenpoint Apartment","Brooklyn","Greenpoint","Private room",52
"Spacious NYC Oasis - Balcony + Stunning City Views","Manhattan","Lower East Side","Entire home/apt",165
"Bright Spacious Cozy Bedroom in Lower East Side","Manhattan","Lower East Side","Private room",57
"Corona free and clean.
Liguria room.","Brooklyn","Gravesend","Private room",149
"NYC HOME GETAWAY","Queens","Jamaica","Entire home/apt",175
"Entire One bedroom Condo Manhattan Midtown West","Manhattan","Theater District","Private room",140
"Beautiful midtown apartment","Manhattan","Murray Hill","Entire home/apt",110
"Amazing apartment","Manhattan","Upper East Side","Private room",150
"Sunny beautiful airy bedroom in Modern Apartment","Brooklyn","Greenpoint","Private room",49
"Beautiful queens apartment! 10 minutes to NYC","Queens","Astoria","Entire home/apt",165
"Calm 1 bedroom right at Tompkins Square Park","Manhattan","East Village","Entire home/apt",120
"JFK Airport Great place to stay 6 min away Room 3","Queens","Jamaica","Private room",50
"Perfect Work From Home Studio in East Village NYU","Manhattan","East Village","Entire home/apt",110
"Modern Apartment in Brownstone Bkln","Brooklyn","Gowanus","Entire home/apt",250
"Bright & Sleek Room w/ AC & WiFi, close to subway","Queens","Astoria","Private room",57
"Small room in Queens","Queens","Rego Park","Private room",48
"Gorgeous one bedroom steps from Astoria Park !","Queens","Ditmars Steinway","Entire home/apt",125
"Cozy room In Bedstuy","Brooklyn","Bedford-Stuyvesant","Private room",90
"CentralPark Harlem 2 Bedroom & 2 bathroom with Gym","Manhattan","Harlem","Entire home/apt",111
"HOME AWAY FROM HOME!!","Queens","Sunnyside","Entire home/apt",250
"NYC X/L Bedroom/Private Bathroom. Long term","Manhattan","Harlem","Private room",50
"Private room near subway for males only","Brooklyn","Bay Ridge","Shared room",30
"Cozy, two bedrooms in a shared apartment.","Manhattan","Harlem","Private room",150
"Great 2 bedroom apartment in Williamsburg!","Brooklyn","Williamsburg","Entire home/apt",221
"Nice studio with view of the UN","Manhattan","Murray Hill","Entire home/apt",144
"Cozy 2 bedroom in Financial District","Manhattan","Financial District","Entire home/apt",195
"Private room in quintessential BK!","Brooklyn","Carroll Gardens","Private room",40
"Big room in the heart of Astoria!","Queens","Long Island City","Private room",65
"Humble getaway","Brooklyn","Flatbush","Private room",75
"Home next to jfk","Queens","Ozone Park","Private room",200
"COMFY-CUTE-N-CLEAN APT in WBURG","Brooklyn","Williamsburg","Entire home/apt",180
"Private Room + Balcony in Bushwick.","Brooklyn","Williamsburg","Private room",59
"3BR Modern Apartment [Extended]","Brooklyn","Bedford-Stuyvesant","Entire home/apt",286
"Large Queen Room Near Flatiron Building & Union Sq","Manhattan","Midtown","Hotel room",295
"Modern private room, 25 mins to MANHATTAN 3","Queens","Ridgewood","Private room",60
"Newly renovated heart of Williamsburg great views","Brooklyn","Williamsburg","Private room",56
"Urban Cottage in Williamsburg BK","Brooklyn","Williamsburg","Entire home/apt",201
"Fully-Furnished Room in Prime Tribeca Location","Manhattan","Tribeca","Private room",78
"Quiet and cozy | Large kitchen and living space.","Brooklyn","Williamsburg","Entire home/apt",195
"Beautiful large sunny room Bedstuy","Brooklyn","Bedford-Stuyvesant","Private room",90
"Sunny apartment, great amenties and transporation.","Manhattan","Morningside Heights","Entire home/apt",145
"FREEMAN'S HOUSE Charming Studio W/Terrace  1404","Manhattan","Lower East Side","Entire home/apt",150
"Serene Oasis tucked in Brooklyn.","Brooklyn","Flatlands","Private room",39
"New Spacious 1BD w/ Private Bathroom Chinatown/LES","Manhattan","Two Bridges","Private room",78
"2-bedroom apartment right next to Mt. Sinai West","Manhattan","Upper West Side","Entire home/apt",500
"Sunny and Serene Private Room in Our Home","Queens","Ridgewood","Private room",55
"Airy, light-filled, charming and zen duplex","Brooklyn","Bedford-Stuyvesant","Entire home/apt",645
"Cozy couch in huge loft in ridgewood/Bushwick","Queens","Ridgewood","Shared room",41
"Boutique Retreat","Bronx","Mount Hope","Private room",40
"Cozy 1 bedroom in charming home.","Brooklyn","East Flatbush","Private room",150
"Giant Private Room in Battery Park","Manhattan","Battery Park City","Private room",100
"Brooklyn Home","Brooklyn","Borough Park","Private room",40
"Fully renovated entire apartment in heart of BURG","Brooklyn","Williamsburg","Entire home/apt",250
"Private Bed-Stuy Duplex! 15-20 minutes to the City","Brooklyn","Bedford-Stuyvesant","Entire home/apt",300
"Spacious Bedroom in the Center of Manhattan","Manhattan","Midtown","Private room",125
"Hudson Yards room 41D1","Manhattan","Hell's Kitchen","Private room",99
"24/7 Onsite Team, Remote Work,Conference & Cinema","Manhattan","Midtown","Entire home/apt",275
"Master Bedroom & Private Office","Manhattan","East Village","Private room",80
"Bright Comfy Studio!","Manhattan","Upper West Side","Private room",180
"Cozy studio next to Wash Sq Park","Manhattan","Greenwich Village","Entire home/apt",125
"Perfect 2BR w/ Concierge + Pool Near Central Park","Manhattan","Midtown","Entire home/apt",288
"10 Mins to Manhattan - 3 Br- Duplex Entire House","Queens","Long Island City","Entire home/apt",95
"Beautiful apartment with a loft.","Bronx","Riverdale","Entire home/apt",85
"Apartment on Riverside","Manhattan","Harlem","Entire home/apt",125
"Affordable master room near of LGA in Queens","Queens","Jackson Heights","Private room",55
"Apartment for rent in EV, ten min from WSP","Manhattan","East Village","Private room",63
"Prime East Village 1 Bedroom","Manhattan","East Village","Entire home/apt",200
"Sunny Two Bedroom in South Slope","Brooklyn","Sunset Park","Entire home/apt",200
"Perfect 2 Bedroom w/ 3 Beds Sleeps 6 Near Q Train","Manhattan","Upper East Side","Entire home/apt",25
"Cozy UES studio near  Mount Sinai (30 days MIN)","Manhattan","Upper East Side","Entire home/apt",99
"Fun studio apartment in Washington Heights, NYC","Manhattan","Washington Heights","Entire home/apt",75
"Basically Your Own Apartment: Cobble Hill Gem","Brooklyn","Carroll Gardens","Entire home/apt",120
"★Spacious Private Room★ MANHATTAN + Close to Park!","Manhattan","Harlem","Private room",45
"Authentic 2BR in UES 30 days MIN","Manhattan","Upper East Side","Entire home/apt",110
"High-End 2B Apt |  Close to NYC Hospitals | by GLS","Manhattan","Midtown","Entire home/apt",508
"Perfect location: Central to everything!","Brooklyn","Bedford-Stuyvesant","Entire home/apt",150
"UES area ,Luxury modern quiet private Apt","Manhattan","East Harlem","Entire home/apt",119
"Magnificent | Four Bedroom Apt | Tribeca | by GLS","Manhattan","Chinatown","Entire home/apt",1099
"Big nice one bedroom apartment by theProspect park","Brooklyn","Prospect-Lefferts Gardens","Entire home/apt",72
"NANCY Room Private Key lock Private entrance","Brooklyn","Bushwick","Private room",69
"Luxurious and Sunny 2 bed/2 bath home (1100 sqft)","Brooklyn","Williamsburg","Entire home/apt",180
"Artist Escape With Private Terrace","Brooklyn","Bedford-Stuyvesant","Private room",40
"Habitación de apartamento con servicios incluidos","Bronx","Mount Hope","Private room",40
"Beautifully designed + renovated 3 bedroom home","Brooklyn","Kensington","Entire home/apt",281
"Spacious Beautiful Duplex Crown Heights","Brooklyn","Crown Heights","Entire home/apt",95
"Comfy Room in Amazing East Village Apt","Manhattan","East Village","Private room",99
"Entire Apartment in Bushwick w/ Private Backyard","Brooklyn","Bushwick","Entire home/apt",100
"Central Park / UWS","Manhattan","Upper West Side","Private room",250
"Private bathroom  New apartment in Bushwick 2020","Brooklyn","Bushwick","Private room",59
"★ NEWLY RENOVATED STUDIO IN PRIME LOCATION - UES ★","Manhattan","Upper East Side","Entire home/apt",120
"Double Twin Deluxe  Boutique Hotel at Times SQ,","Manhattan","Theater District","Private room",178
"Affordable room near of LGA airport in Queens.","Queens","Maspeth","Private room",50
"Bright and appealing fully furnished apartment","Manhattan","Upper East Side","Entire home/apt",100
"Fantastic view of the Hudson river -1 Bedroom","Manhattan","Hell's Kitchen","Private room",250
"Modern & Spacious Apartment in Central Harlem","Manhattan","Harlem","Entire home/apt",132
"Cozy & Comfortable Private Room","Brooklyn","Prospect-Lefferts Gardens","Private room",55
"(1D) Fantastic  2 Bedroom Off Central Park","Manhattan","East Harlem","Entire home/apt",110
"DREAM LOFT - HUGE 5BR APT in prime Chelsea/ Nomad","Manhattan","Chelsea","Entire home/apt",700
"Brand new furnished room","Queens","Long Island City","Private room",54
"Lovely room in the heart of BK","Brooklyn","Williamsburg","Private room",45
"Perfect Location! Huge 5BR/3BA Townhouse!","Manhattan","Upper East Side","Entire home/apt",546
"Park Slope Paradise","Brooklyn","Fort Greene","Shared room",140
"Gorgeous Newly Renovated Studio in Upper East Side","Manhattan","Upper East Side","Entire home/apt",160
"Gorgeous Park Slope Private Room","Brooklyn","Gowanus","Private room",45
"Charming Clinton Hill/Bedstuy APT","Brooklyn","Bedford-Stuyvesant","Entire home/apt",521
"Spacious Well Kept Apartment 5 min to Midtown","Queens","Long Island City","Private room",100
"1 Bedroom with Washer and Dyer in Unit","Manhattan","Upper East Side","Entire home/apt",118
"Cozy Tribeca Studio","Manhattan","Tribeca","Entire home/apt",139
"1 Bed in a 4-Bed Male Dorm with Private Bathroom","Queens","Long Island City","Shared room",50
"New Large home away from home 15 min from midtown","Queens","Long Island City","Entire home/apt",120
"Casual Chic 4BR Astoria House->sta+market","Queens","Astoria","Entire home/apt",210
"Best neighborhood in Manhattan NYC!! Ask around!","Manhattan","Chelsea","Entire home/apt",105
"Spacious bright apartment in East Village","Manhattan","East Village","Entire home/apt",93
"Private Sunny Cool Bushwick Bedroom","Brooklyn","Bushwick","Entire home/apt",65
"Beautiful Bldg near Columbia Uni","Manhattan","Upper West Side","Private room",64
"Beckoning ”Bed-Stay” 2 BR Suite in Bed-Stuy","Brooklyn","Bedford-Stuyvesant","Entire home/apt",160
"Huge & Artsy Loft with 4 Rooms in Brooklyn","Brooklyn","Bushwick","Entire home/apt",286
"nice /clean env.10 mins from JFK with free parking","Queens","Cambria Heights","Private room",80
"Large Bedroom in Harlem","Manhattan","Harlem","Private room",74
"Large 1-bedroom Apt with lots of charm and art.","Manhattan","Harlem","Entire home/apt",125
"your holiday-ready Harlem home away from home!","Manhattan","Harlem","Entire home/apt",98
"Nice Bedroom with Private Bathroom Near Manhattan","Queens","Elmhurst","Private room",59
"EXCELLENT PRIVATE ROOM BY 3 METROS IN WILLIAMSBURG","Brooklyn","Williamsburg","Private room",69
"Kew Gardens","Queens","Kew Gardens","Private room",80
"Sun-filled 1Br in Fort Greene Brooklyn","Brooklyn","Fort Greene","Entire home/apt",91
"Funky Furnished 1 Bedroom on Tree-Lined Street","Brooklyn","Fort Greene","Entire home/apt",129
"Beautiful Park-view Home in Flushing NYC","Queens","Flushing","Entire home/apt",436
"Central Park Is Next Door","Manhattan","Upper West Side","Private room",48
"Bright & Cozy Apt w/  Free WiFi & Hotspot in BKLYN","Brooklyn","East Flatbush","Entire home/apt",118
"Modern Studio 1 block away from the beach","Brooklyn","Manhattan Beach","Entire home/apt",101
"Hotel Edison, Signature Family Room","Manhattan","Theater District","Private room",349
"Large sunny private room with queen size bed.","Queens","Astoria","Private room",48
"Sleek Chelsea Studio w/ Stylish roof deck + Gym by Blueground (NYC 107)","Manhattan","Chelsea","Entire home/apt",210
"Cozy Apartment in Astoria Queens","Queens","Astoria","Entire home/apt",73
"Spacious, private UES room","Manhattan","Upper East Side","Private room",57
"private room for women, central location in NYC","Manhattan","Midtown","Private room",115
"Sunny Bedroom with a huge window","Manhattan","Washington Heights","Private room",40
"1BR UNFURN SUBLET in Williamsburg","Brooklyn","Williamsburg","Entire home/apt",220
"NYC living","Manhattan","Hell's Kitchen","Private room",70
"There is a Living and Bedroom in the room","Queens","Jackson Heights","Private room",37
"1-BD Upper East Side Apt (extended stay available)","Manhattan","Upper East Side","Entire home/apt",100
"Spacious room in cozy 4-brm Union Square apt!","Manhattan","East Village","Private room",70
"Views in a Manhattan High Rise","Manhattan","East Harlem","Private room",50
"Beautiful 1 Bedroom in a Private Townhouse","Manhattan","Harlem","Entire home/apt",70
"Super Bowl Wknd! 3-Bedroom Apt UWS","Manhattan","Upper West Side","Entire home/apt",1000
"Luxury 2 BR BK oasis by Barclays & Green Building","Brooklyn","Gowanus","Entire home/apt",321
"Modern Private  Bedroom Renovation 2020","Brooklyn","Bedford-Stuyvesant","Private room",51
"Cozy Studio","Manhattan","Hell's Kitchen","Entire home/apt",100
"Upscale loft in boutique, luxury midtown building","Manhattan","Hell's Kitchen","Entire home/apt",390
"Private bedroom (15 min Manhattan).","Brooklyn","Bedford-Stuyvesant","Private room",60
"Comfy and Nice Railroad Apt in Williamsburg","Brooklyn","Williamsburg","Entire home/apt",50
"North Williamsburg whole apt - Off the BEDFORD L","Brooklyn","Williamsburg","Entire home/apt",350
"Cozy Apartment in Quiet Family Neighborhood","Queens","Sunnyside","Entire home/apt",100
"Entire One Bedroom Apartment In Historic District","Bronx","Highbridge","Entire home/apt",75
"Enormous, Beautiful Apartment near Prospect Park","Brooklyn","Flatbush","Entire home/apt",67
"Beautiful upper west side townhouse","Manhattan","Upper West Side","Entire home/apt",2200
"Cozy Room in Fairy Bushwick Apartment","Brooklyn","Bushwick","Private room",50
"177st. Manhattan","Manhattan","Washington Heights","Private room",250
"Cozy private room by Union Square E for Monthly!","Manhattan","Stuyvesant Town","Entire home/apt",65
"A room of one's own near Columbia U","Manhattan","Morningside Heights","Private room",70
"Room in Brownstone close to Subway/ week discount","Brooklyn","Prospect Heights","Private room",115
"Beautiful Harlem Studio Apartment - private access","Manhattan","Harlem","Entire home/apt",68
"*Updated* 2br Apartment near JFK, Train & Bus!","Queens","Richmond Hill","Entire home/apt",149
"Comfy room near Penn Station","Manhattan","Chelsea","Private room",76
"3 BR 2 Bath Duplex w/ Shared Yard in Williamsburg","Brooklyn","Williamsburg","Entire home/apt",500
"Big room in Williamsburg Penthouse","Brooklyn","Williamsburg","Private room",79
"Private room in the heart of Astoria (off Ditmars)","Queens","Ditmars Steinway","Private room",40
"Private Room #2 in Manhattan Townhouse/Madison Ave","Manhattan","East Harlem","Private room",85
"Nice Private Room in Williamsburg","Brooklyn","Williamsburg","Private room",90
"One of The Kind in NYC","Manhattan","Theater District","Entire home/apt",399
"2 Story Loft Tribeca/Soho Downtown Manhattan","Manhattan","Tribeca","Entire home/apt",664
"Beautiful, bright and friendly","Brooklyn","Prospect Heights","Private room",60
"Charming Bedroom in Gramercy","Manhattan","Gramercy","Private room",99
"Brand New Bedroom | PRIVATE BATHROOM","Brooklyn","Bedford-Stuyvesant","Private room",46
"(Dx) Bushwick Private Room","Brooklyn","Bedford-Stuyvesant","Private room",48
"With PARKING, 5 min from LGA , Feel at home in NYC","Queens","East Elmhurst","Entire home/apt",146
"Big brownstone garden apt w patio on great block","Manhattan","Harlem","Entire home/apt",225
"Ivoire Business Solutions LLC 1","Bronx","University Heights","Private room",75
"Cute, simple & cheap studio. Great location UES!","Manhattan","Upper East Side","Entire home/apt",50
"Bushwick home away from home","Brooklyn","Bushwick","Entire home/apt",140
"Cheerful studio near Prospect Park","Brooklyn","Prospect-Lefferts Gardens","Entire home/apt",70
"Couples Getaway in Brooklyn!","Brooklyn","Canarsie","Entire home/apt",118
"Studio Loft","Brooklyn","Greenpoint","Entire home/apt",263
"Cozy studio at heart of Williamsburg","Brooklyn","Williamsburg","Entire home/apt",129
"Overnight 4 Guests","Brooklyn","Sunset Park","Entire home/apt",1393
"Entire Spacious 2 Bed Apt on UWS","Manhattan","Upper West Side","Entire home/apt",123
"Charming Fort Greene studio, dream location","Brooklyn","Fort Greene","Entire home/apt",150
"Modern and light filled Brooklyn brownstone","Brooklyn","Boerum Hill","Entire home/apt",950
"NYC Flavor Stay","Queens","Ridgewood","Entire home/apt",220
"Upper East Side room with full size bed","Manhattan","East Harlem","Private room",89
"Brooklyn urban oasis","Brooklyn","Crown Heights","Entire home/apt",163
"Massive 3BR, light filled, BK loft","Brooklyn","Prospect Heights","Entire home/apt",200
"Long Sublet ONLY -Studiolike Apt in Clinton Hill","Brooklyn","Clinton Hill","Private room",55
"Private room available for sublet in Astoria","Queens","Astoria","Private room",40
"Large stylish Mid Century Duplex in Clinton Hill","Brooklyn","Clinton Hill","Entire home/apt",427
"Bright financial district apartment with views","Manhattan","Financial District","Entire home/apt",250
"The perfect home away from home !","Bronx","Wakefield","Entire home/apt",125
"Comfy studio apartment in Queens","Queens","Briarwood","Entire home/apt",80
"Charming loft in a old town house","Manhattan","West Village","Entire home/apt",195
"Brownstone-Morningside Heights-Harlem","Manhattan","Harlem","Entire home/apt",116
"BEST LOCATION 9bed/6bath (10Min to NYC) w Rooftop!","Brooklyn","Williamsburg","Entire home/apt",999
"Pleasant Room in Lovely Home, quick ride to NYC","Brooklyn","Sunset Park","Private room",75
"Long Island City Apt with a Terrace","Queens","Sunnyside","Private room",65
"Empty nest smallroom with twin bed","Brooklyn","East Flatbush","Private room",28
"Perfect Brooklyn Stay, Apt for 4","Brooklyn","Park Slope","Entire home/apt",179
"Parlor Newly Renovated Duplex with Backyard Access","Brooklyn","Crown Heights","Entire home/apt",300
"""The Cabin"" —Private Queen Bedroom in Jungly Apt.","Brooklyn","Bushwick","Private room",91
"Sunny 1BR with Terrace/City Views","Brooklyn","Williamsburg","Entire home/apt",169
"Beautiful Updated High-end Studio Apartment","Brooklyn","Crown Heights","Entire home/apt",80
"Two Bedroom Brooklyn Retreat","Brooklyn","Bedford-Stuyvesant","Entire home/apt",275
"Sunny and Quiet Bed-Stuy Escape","Brooklyn","Bedford-Stuyvesant","Private room",70
"Spacious Midtown one bedroom","Manhattan","Murray Hill","Entire home/apt",145
"Studio apartment near Monte Fiore hospital","Bronx","Norwood","Private room",40
"Newly Renovated 2 BD in Upper East Side","Manhattan","Upper East Side","Entire home/apt",127
"Cute 1 bedroom in the heart of Chelsea","Manhattan","Chelsea","Entire home/apt",105
"WYNDHAM MIDTOWN 45 NY 1 BEDROOM DELUXE NYC","Manhattan","Midtown","Entire home/apt",225
"Beautiful Brooklyn Apartment","Brooklyn","Clinton Hill","Private room",157
"Hotel Fairfield Inn & Suites By Marriott","Manhattan","Hell's Kitchen","Private room",360
"Haven In The Heights - Huge, Bright Bedroom!","Manhattan","Washington Heights","Private room",75
"Steps from Times Square and Vessel","Manhattan","Hell's Kitchen","Private room",113
"Full apr Studio good area to work","Manhattan","Midtown","Entire home/apt",130
